0,1,max_intersection_similarity,jaccard_similarity,spacy_similarity
1596,comms progress every week,TEC1,TEC1,TEC2
1597,support chuy comms,TEC1,TEC1,TEC6
1598,sharing coffee office time comms call spaces relax week,TEC1,TEC1,TEC2
1599,awesome stewards community,TEC15,TEC15,TEC8
1600,great c call,,,TEC2
1601,great seo call,TEC1,TEC1,TEC1
1602,meeting suga week,,,TEC2
1603,silky smooth spring planning session,,,TEC2
1604,annamarieswan freedumbs00 natesuits juankbell mateodaza griff santigs suga zeptimus amwfund durgadas tam2140 chuygarcia92 joining soft gov always insightful spend time,TEC2,TEC2,TEC2
1605,griff juankbell tam2140 metaverde freedumbs00 liviade natesuits vyvy vi zeptimus rodbot2 amwfund octopus joining hatch outreach call thank much one biggest calls,TEC6,TEC6,TEC2
1606,joining stewards meeting,TEC8,TEC8,TEC8
1607,joining restrospective meeting,,,TEC2
1608,joining tec community call https www youtube com watch v s8rqw7bf8gk,TEC15,TEC15,TEC15
1609,attending comms wg weekly call,TEC1,TEC1,TEC1
1610,joining stewards call,TEC8,TEC8,TEC8
1611,joining tec community call https youtu z53dnjksgck,TEC15,TEC15,TEC15
1612,joining comms weekly call,TEC1,TEC1,TEC1
1613,griff juankbell tam2140 metaverde freedumbs00 liviade natesuits vyvy vi zeptimus rodbot2 amwfund octopus joining hatch outreach call thank much one biggest calls,TEC6,TEC6,TEC2
1614,pushing hatch outreach forward,TEC6,TEC6,TEC6
1615,conducting hatchers outreach audit post forum https forum tecommons org hatch outreach audit,TEC6,TEC6,TEC1
1616,long productive sync hatchers projects today,,,TEC2
1617,filling audit,,,TEC2
1618,awesome stewards community,TEC15,TEC15,TEC8
1619,helping vyvy cstk issues,,,TEC2
1620,onboarding ddan hatcher,TEC6,TEC6,TEC6
1621,become hatcher document,,,TEC1
1622,helping suggesting might issues pending membership score cs membership clearing doubts praise iht cstk score inter relation,TEC16,TEC16,TEC2
1623,informative onboarding session teaching ways share communicate community,TEC6,TEC15,TEC1
1624,silky smooth spring planning session,,,TEC2
1625,joining stewards meeting,TEC8,TEC8,TEC8
1626,joining restrospective meeting,,,TEC2
1627,joining tec community call https www youtube com watch v s8rqw7bf8gk,TEC15,TEC15,TEC15
1628,joining ama,,,TEC1
1629,joining comms weekly call,TEC1,TEC1,TEC1
1630,engaging discussion te commons forum https forum tecommons org past week thank helping token engineering commons community share learn,TEC5,TEC15,TEC1
1631,mentioning retweeting te commons socials past week thank helping us grow token engineering commons community spreading message,TEC5,TEC15,TEC1
1632,getting message writing many different projects,,,TEC1
1633,documentation work beyond setting dashboard making params work possible,TEC3,TEC3,TEC1
1634,engaging bonding curve modeling hack sessions already said call last thursday recorded,,,TEC2
1635,work dashboard,,,TEC1
1636,writing tutorial get wxdai,,,TEC1
1637,fun sunday params sesh spending another hours making curves,TEC3,TEC3,TEC2
1638,bonding curve params hack session,TEC3,TEC3,TEC3
1639,contributions content,,,TEC1
1640,helping mvv tweet,,,TEC1
1641,influence support personally whole community generally stronger together,TEC15,TEC15,TEC2
1642,comms coming together,TEC1,TEC1,TEC1
1643,reviewing draft tweets mvv become hatcher post got published,,,TEC1
1644,comms progress every week,TEC1,TEC1,TEC2
1645,support chuy comms,TEC1,TEC1,TEC6
1646,great c call,,,TEC2
1647,joining tec community call https www youtube com watch v s8rqw7bf8gk,TEC15,TEC15,TEC15
1648,attending comms wg weekly call,TEC1,TEC1,TEC1
1649,joining tec community call https youtu z53dnjksgck,TEC15,TEC15,TEC15
1650,joining comms weekly call,TEC1,TEC1,TEC1
1651,engaging discussion te commons forum https forum tecommons org past week thank helping token engineering commons community share learn,TEC5,TEC15,TEC1
1652,pushing actual smart contracts going forward commons swarm,TEC5,TEC5,TEC2
1653,working hard improving aragon apps republishing xdai aragon daos vote brought back democracy xdai land man,TEC2,TEC2,TEC2
1654,incredible work commons swarm restoring democracy xdai true superhero stuff,TEC5,TEC5,TEC2
1655,care lot daos xdai careful whole ecosystem,,,TEC2
1656,visible community work hatch super cool,TEC6,TEC15,TEC15
1657,zeptimus gabi joining commons swarm weekly sync,TEC5,TEC5,TEC5
1658,attending today commons swarm weekly meeting,TEC5,TEC5,TEC2
1659,reasons lot us,,,TEC2
1660,fun session dao2dao collaboration mechanisms proposal inverter revenue sharing models working research area,,,TEC1
1661,mz improvements skill forest nft research group1,,,TEC14
1662,helping maintain lit inner fire motivation inspiration humbleness one us,,,TEC16
1663,best team ever worked,,,TEC2
1664,pushing chuy fire weeks ago gave confidence comms rescuing people need laurens cadcad buddy,TEC1,TEC1,TEC2
1665,bringing governance deciding vote discussion stewards weekly taking initiative get conversation started,TEC2,TEC8,TEC2
1666,become hatcher document,,,TEC1
1667,influence support personally whole community generally stronger together,TEC15,TEC15,TEC2
1668,paying careful attention community,TEC15,TEC15,TEC2
1669,awesome stewards community,TEC15,TEC15,TEC8
1670,comms coming together,TEC1,TEC1,TEC1
1671,juan super excited carry flag ethereum colombia community,TEC15,TEC15,TEC2
1672,warm welcome calls finding good fit faqs,,,TEC16
1673,correcting telegram praise mistake thank,TEC1,TEC16,TEC16
1674,said might come speak enspiral,,,TEC2
1675,correcting sugas mistakes dishing praise,TEC16,TEC16,TEC16
1676,catching zepti,,,TEC5
1677,sharing coffee office time comms call spaces relax week,TEC1,TEC1,TEC2
1678,joining stewards meeting,TEC8,TEC8,TEC8
1679,joining todays legal wg call,TEC4,TEC4,TEC4
1680,joining tec community call https youtu z53dnjksgck,TEC15,TEC15,TEC15
1681,cadcad lab sessions,TEC9,TEC9,TEC9
1682,joining cadcad lab study group helping troubleshoot get cadcad libraries installed properly,TEC9,TEC9,TEC2
1683,joining tec community call https youtu z53dnjksgck,TEC15,TEC15,TEC15
1684,bringing energy enthusiasm,,,TEC16
1685,dress rehearsal onboarding script,TEC6,TEC6,TEC6
1686,joining comms weekly call,TEC1,TEC1,TEC1
1687,mentioning retweeting te commons socials past week thank helping us grow token engineering commons community spreading message,TEC5,TEC15,TEC1
1688,mentioning retweeting te commons socials past week thank helping us grow token engineering commons community spreading message,TEC5,TEC15,TEC1
1689,pushing actual smart contracts going forward commons swarm,TEC5,TEC5,TEC2
1690,6h work monday worked new deployment environment tec interface started merge new code honeypot tec interface,TEC15,TEC15,TEC5
1691,6h work today continue fixing merged code 2h pair programming session team creating everything needed testing rinkeby honey pot configuration subgraphs,,,TEC2
1692,admirable amount work dashboard ready,,,TEC1
1693,visible community work hatch super cool,TEC6,TEC15,TEC15
1694,zeptimus gabi joining commons swarm weekly sync,TEC5,TEC5,TEC5
1695,attending today commons swarm weekly meeting,TEC5,TEC5,TEC2
1696,incredible cadcad edu course great teacher awesome step step guidance even beginner like follow,,,TEC1
1697,incredible work behind scenes giveth across ecosystems,,,TEC16
1698,showing panvala poker night last week,,,TEC2
1699,great presentation governance token design commons stack tools recent berchain event,TEC1,TEC1,TEC1
1700,making great issues commons simulator especially reporting huge ui bug thank phil,TEC5,TEC5,TEC5
1701,mentioning retweeting commons stack socials past week thank helping us grow commons stack community spreading message,TEC5,TEC15,TEC1
1702,mentioning retweeting te commons socials past week thank helping us grow token engineering commons community spreading message,TEC5,TEC15,TEC1
1703,continued work cadcad ecosystem updating website,TEC1,TEC1,TEC1
1704,work cadcad,,,TEC1
1705,awesome tragedy commons meme,TEC5,TEC5,TEC1
1706,checking research hope see next time,,,TEC2
1707,amazing collaborations interest gravity project take care helping set strong basements high quality standards application alternative dispute resolution daos ethical professional responsibility,TEC17,TEC17,TEC2
1708,great memes cracking today,,,TEC1
1709,engaging discussion te commons forum https forum tecommons org past week thank helping token engineering commons community share learn,TEC5,TEC15,TEC1
1710,engaging discussion te commons forum https forum tecommons org past week thank helping token engineering commons community share learn,TEC5,TEC15,TEC1
1711,mentioning retweeting commons stack socials past week thank helping us grow commons stack community spreading message,TEC5,TEC15,TEC1
1712,mentioning retweeting commons stack socials past week thank helping us grow commons stack community spreading message,TEC5,TEC15,TEC1
1713,michel bauwens mentioning retweeting te commons socials past week thank helping us grow token engineering commons community spreading message,TEC5,TEC15,TEC1
1714,work trojan dao repping regen culture researching new governance systems greece amaaazing,TEC2,TEC2,TEC2
1715,inviting commons stack team co design governance flows trojan dao iteration,TEC5,TEC5,TEC1
1716,hatch config dashboard,TEC6,TEC6,TEC5
1717,work gitcoin modeling research group important work around culture modeling complex systems,TEC2,TEC2,TEC1
1718,joining tec community call https www youtube com watch v s8rqw7bf8gk,TEC15,TEC15,TEC15
1719,ludo making time sunday unravel frontend backend heroko digital ocean droplet docker container deploy key compose file gitlab repo whatever else conversation swag shop important work setting systems give away free swag,,,TEC1
1720,think praised enough work repping regen culture ecosystem,TEC2,TEC2,TEC2
1721,mentioning retweeting te commons socials past week thank helping us grow token engineering commons community spreading message,TEC5,TEC15,TEC1
1722,mentioning retweeting commons stack socials past week,TEC5,TEC5,TEC1
1723,mentioning retweeting te commons socials past week thank helping us grow token engineering commons community spreading message,TEC5,TEC15,TEC1
1724,starting lively dialogue around governance,,,TEC2
1725,mentioning retweeting commons stack socials past week thank helping us grow commons stack community spreading message,TEC5,TEC15,TEC1
1726,mentioning retweeting te commons socials past week thank helping us grow token engineering commons community spreading message,TEC5,TEC15,TEC1
1727,joining cadcad lab study group helping troubleshoot get cadcad libraries installed properly,TEC9,TEC9,TEC2
1728,attending weekly legal call,TEC4,TEC4,TEC4
1729,funding scholarship trusted seed swiss membership,,,TEC2
1730,care lot daos xdai careful whole ecosystem,,,TEC2
1731,carrying flag ethcolombia community,TEC15,TEC15,TEC2
1732,great user testing hatch configuration dashboard lot qa work still,TEC6,TEC6,TEC5
1733,joining tec community call https www youtube com watch v s8rqw7bf8gk,TEC15,TEC15,TEC15
1734,edu showing work share work see telegram message https commonsstack,TEC1,TEC1,TEC1
1735,mentioning retweeting commons stack socials past week thank helping us grow commons stack community spreading message,TEC5,TEC15,TEC1
1736,mentioning retweeting te commons socials past week thank helping us grow token engineering commons community spreading message,TEC5,TEC15,TEC1
1737,sharing 1hive morphosis swarm educational materials,TEC5,TEC5,TEC1
1738,mentioning retweeting commons stack socials past week thank helping us grow commons stack community spreading message,TEC5,TEC15,TEC1
1739,work trying create new markets carbon credits connecting groups across ecosystem,,,TEC2
1740,fun session dao2dao collaboration mechanisms proposal inverter revenue sharing models working research area,,,TEC1
1741,joining trusted seed office hours sharing questions ideas around contributing community,TEC15,TEC15,TEC1
1742,joining praise onboarding call morning,TEC6,TEC16,TEC16
1743,finding time hack praise bot issue,TEC16,TEC16,TEC2
1744,visible community work hatch super cool,TEC6,TEC15,TEC15
1745,joining cadcad lab study group helping troubleshoot get cadcad libraries installed properly,TEC9,TEC9,TEC2
1746,visible community work hatch super cool,TEC6,TEC15,TEC15
1747,visible community work hatch super cool,TEC6,TEC15,TEC15
1748,joining cadcad lab study group helping troubleshoot get cadcad libraries installed properly,TEC9,TEC9,TEC2
1749,visible community work hatch super cool,TEC6,TEC15,TEC15
1750,jumping discord enthusiasm tec,TEC1,TEC15,TEC15
1751,griff juankbell tam2140 metaverde freedumbs00 liviade natesuits vyvy vi zeptimus rodbot2 amwfund octopus joining hatch outreach call thank much one biggest calls,TEC6,TEC6,TEC2
1752,joining tec community call https www youtube com watch v s8rqw7bf8gk,TEC15,TEC15,TEC15
1753,griff juankbell tam2140 metaverde freedumbs00 liviade natesuits vyvy vi zeptimus rodbot2 amwfund octopus joining hatch outreach call thank much one biggest calls,TEC6,TEC6,TEC2
1754,work regen network launch welcome congratulations,,,TEC1
1755,work supporting skill forest research group awesome,,,TEC2
1756,jumping discord making time talk tec hatch,TEC1,TEC15,TEC2
1757,joining contributors sync manifesting desire contribute follow,,,TEC16
1758,mentioning retweeting commons stack socials past week thank helping us grow commons stack community spreading message,TEC5,TEC15,TEC1
1759,coming chat offering share skillset community,TEC15,TEC15,TEC1
1760,continued work cadcad ecosystem updating website,TEC1,TEC1,TEC1
1761,sharing proof humanity earth humans,,,TEC17
1762,always enthusiastic participating amas sharing awesome ideas research,,,TEC1
1763,dropping onboarding help channel access rest,TEC6,TEC6,TEC1
1764,dropping onboarding help channel access rest,TEC6,TEC6,TEC1
1765,recommending commons stack,TEC5,TEC5,TEC5
1766,joining tec community call https www youtube com watch v s8rqw7bf8gk,TEC15,TEC15,TEC15
1767,mentioning retweeting commons stack socials past week thank helping us grow commons stack community spreading message,TEC5,TEC15,TEC1
1768,joining hatch outreach call taking time participate,TEC6,TEC6,TEC6
1769,joining tec discord,TEC1,TEC15,TEC15
1770,joining tec community call https www youtube com watch v s8rqw7bf8gk,TEC15,TEC15,TEC15
1771,griff juankbell tam2140 metaverde freedumbs00 liviade natesuits vyvy vi zeptimus rodbot2 amwfund octopus joining hatch outreach call thank much one biggest calls,TEC6,TEC6,TEC2
1772,griff juankbell tam2140 metaverde freedumbs00 liviade natesuits vyvy vi zeptimus rodbot2 amwfund octopus joining hatch outreach call thank much one biggest calls,TEC6,TEC6,TEC2
1773,joining praise onboarding call morning,TEC6,TEC16,TEC16
1774,attending today commons swarm weekly meeting,TEC5,TEC5,TEC2
1775,joining tec community call https youtu z53dnjksgck,TEC15,TEC15,TEC15
1776,griff juankbell tam2140 metaverde freedumbs00 liviade natesuits vyvy vi zeptimus rodbot2 amwfund octopus joining hatch outreach call thank much one biggest calls,TEC6,TEC6,TEC2
1777,griff juankbell tam2140 metaverde freedumbs00 liviade natesuits vyvy vi zeptimus rodbot2 amwfund octopus joining hatch outreach call thank much one biggest calls,TEC6,TEC6,TEC2
1778,mentioning retweeting commons stack socials past week thank helping us grow commons stack community spreading message,TEC5,TEC15,TEC1
1779,mentioning retweeting commons stack socials past week thank helping us grow commons stack community spreading message,TEC5,TEC15,TEC1
1780,mentioning retweeting commons stack socials past week thank helping us grow commons stack community spreading message,TEC5,TEC15,TEC1
1781,mentioning retweeting te commons socials past week thank helping us grow token engineering commons community spreading message,TEC5,TEC15,TEC1
1782,mentioning retweeting commons stack socials past week thank helping us grow commons stack community spreading message,TEC5,TEC15,TEC1
1783,mentioning retweeting commons stack socials past week thank helping us grow commons stack community spreading message,TEC5,TEC15,TEC1
1784,mentioning retweeting commons stack socials past week thank helping us grow commons stack community spreading message,TEC5,TEC15,TEC1
1785,mentioning retweeting commons stack socials past week thank helping us grow commons stack community spreading message,TEC5,TEC15,TEC1
1786,mentioning retweeting commons stack socials past week thank helping us grow commons stack community spreading message,TEC5,TEC15,TEC1
1787,mentioning retweeting commons stack socials past week thank helping us grow commons stack community spreading message,TEC5,TEC15,TEC1
1788,mentioning retweeting commons stack socials past week thank helping us grow commons stack community spreading message,TEC5,TEC15,TEC1
1789,mentioning retweeting te commons socials past week thank helping us grow token engineering commons community spreading message,TEC5,TEC15,TEC1
1790,mentioning retweeting commons stack socials past week thank helping us grow commons stack community spreading message,TEC5,TEC15,TEC1
1791,mentioning retweeting te commons socials past week thank helping us grow token engineering commons community spreading message,TEC5,TEC15,TEC1
1792,mentioning retweeting commons stack socials past week thank helping us grow commons stack community spreading message,TEC5,TEC15,TEC1
1793,mentioning retweeting commons stack socials past week thank helping us grow commons stack community spreading message,TEC5,TEC15,TEC1
1794,zoushhoangfor mentioning retweeting commons stack socials past week thank helping us grow commons stack community spreading message,TEC5,TEC15,TEC1
1795,mentioning retweeting commons stack socials past week thank helping us grow commons stack community spreading message,TEC5,TEC15,TEC1
1796,mentioning retweeting commons stack socials past week thank helping us grow commons stack community spreading message,TEC5,TEC15,TEC1
1797,mentioning retweeting commons stack socials past week thank helping us grow commons stack community spreading message,TEC5,TEC15,TEC1
1798,mentioning retweeting commons stack socials past week thank helping us grow commons stack community spreading message,TEC5,TEC15,TEC1
1799,mentioning retweeting commons stack socials past week thank helping us grow commons stack community spreading message,TEC5,TEC15,TEC1
1800,mentioning retweeting commons stack socials past week thank helping us grow commons stack community spreading message,TEC5,TEC15,TEC1
1801,mentioning retweeting commons stack socials past week thank helping us grow commons stack community spreading message,TEC5,TEC15,TEC1
1802,mentioning retweeting commons stack socials past week thank helping us grow commons stack community spreading message,TEC5,TEC15,TEC1
1803,mentioning retweeting commons stack socials past week thank helping us grow commons stack community spreading message,TEC5,TEC15,TEC1
1804,mentioning retweeting commons stack socials past week thank helping us grow commons stack community spreading message,TEC5,TEC15,TEC1
1805,mentioning retweeting commons stack socials past week thank helping us grow commons stack community spreading message,TEC5,TEC15,TEC1
1806,mentioning retweeting commons stack socials past week thank helping us grow commons stack community spreading message,TEC5,TEC15,TEC1
1807,mentioning retweeting commons stack socials past week thank helping us grow commons stack community spreading message,TEC5,TEC15,TEC1
1808,mentioning retweeting commons stack socials past week thank helping us grow commons stack community spreading message,TEC5,TEC15,TEC1
1809,mentioning retweeting commons stack socials past week thank helping us grow commons stack community spreading message,TEC5,TEC15,TEC1
1810,mentioning retweeting commons stack socials past week thank helping us grow commons stack community spreading message,TEC5,TEC15,TEC1
1811,mentioning retweeting te commons socials past week thank helping us grow token engineering commons community spreading message,TEC5,TEC15,TEC1
1812,mentioning retweeting commons stack socials past week thank helping us grow commons stack community spreading message,TEC5,TEC15,TEC1
1813,mentioning retweeting commons stack socials past week thank helping us grow commons stack community spreading message,TEC5,TEC15,TEC1
1814,mentioning retweeting commons stack socials past week thank helping us grow commons stack community spreading message,TEC5,TEC15,TEC1
1815,mentioning retweeting commons stack socials past week thank helping us grow commons stack community spreading message,TEC5,TEC15,TEC1
1816,mentioning retweeting te commons socials past week thank helping us grow token engineering commons community spreading message,TEC5,TEC15,TEC1
1817,carrying flag transparency practices community great article https medium com token engineering commons transparency daos 999b17b0ff74,TEC1,TEC15,TEC1
1818,mentioning retweeting commons stack socials past week thank helping us grow commons stack community spreading message,TEC5,TEC15,TEC1
1819,mentioning retweeting te commons socials past week thank helping us grow token engineering commons community spreading message,TEC5,TEC15,TEC1
1820,mentioning retweeting commons stack socials past week thank helping us grow commons stack community spreading message,TEC5,TEC15,TEC1
1821,mentioning retweeting te commons socials past week thank helping us grow token engineering commons community spreading message,TEC5,TEC15,TEC1
1822,joining transparency wg weekly sync,TEC10,TEC10,TEC10
1823,help process publishing guest blog post thetec medium page,TEC1,TEC1,TEC1
1824,attending comms weekly call,TEC1,TEC1,TEC1
1825,recording wg sessions making easy catch great work going youtube playlists,TEC10,TEC10,TEC10
1826,joining wg 0mega finalizing community survey,TEC2,TEC7,TEC2
1827,santigs juankbell mateodaza griff natesuits chuygarcia92 zeptimus tam2140 durgadas suga joining soft gov yesterday,TEC2,TEC2,TEC2
1828,zeptimus griff submitting mvv proposals tokenlog,,,TEC2
1829,taking time brainstorm gravity survey sure great tool gather information purpose identifying feelings needs requests related conflict management decentralized communities,TEC17,TEC17,TEC1
1830,helping guide work tec gravity,TEC17,TEC15,TEC15
1831,great medium article dedication transparency mutual monitoring,TEC1,TEC10,TEC1
1832,sharing fun time today gravity wg personal missions visions values represented tec mission vision values,TEC17,TEC16,TEC17
1833,epic retrospective epic sprint,,,TEC10
1834,work transparency wg revolution daos everywhere work creative looking solutions recording calls incredible transparency blog work continue,TEC10,TEC10,TEC1
1835,new people coming possible stewards amazing work,TEC8,TEC8,TEC2
1836,everywhere work done much ethics energy,,,TEC2
1837,joining tec weekly sync https www youtube com watch v wg5j9ac8mwg,TEC10,TEC15,TEC10
1838,attending transparency weekly call,TEC10,TEC10,TEC2
1839,every interaction past weeks thanks presence support,,,TEC2
1840,joining common swarm awesome energy,TEC5,TEC5,TEC2
1841,joining comms weekly call,TEC1,TEC1,TEC1
1842,joining improvised hack session mvv topics gravity,TEC17,TEC17,TEC1
1843,always open working gravity,TEC17,TEC17,TEC2
1844,joining soft gov sharing inputs mvv,TEC2,TEC2,TEC2
1845,joining transparency working sesh,TEC10,TEC10,TEC10
1846,uploading comms weekly call sharing link us,TEC1,TEC1,TEC1
1847,joining stewards meeting,TEC8,TEC8,TEC8
1848,joining hatchers outreach weekly sync,TEC6,TEC6,TEC6
1849,going calls making sure recorded posting calls channels work transparency article ivy always around available record work transparency,TEC10,TEC10,TEC10
1850,participating mvv submitting proposals commenting,,,TEC1
1851,community sem,TEC15,TEC15,TEC15
1852,leading transparency calls,TEC10,TEC10,TEC2
1853,recording calls,TEC10,TEC10,TEC10
1854,joining tec community call https www youtube com watch v ehhavtqhlas,TEC15,TEC15,TEC15
1855,always making time legal calls,TEC4,TEC4,TEC4
1856,attending legal weekly sync,TEC4,TEC4,TEC4
1857,mentioning retweeting commons stack socials past week thank helping us grow commons stack community spreading message,TEC5,TEC15,TEC1
1858,engaging discussion te commons forum https forum tecommons org past week thank helping token engineering commons community share learn,TEC5,TEC15,TEC1
1859,santigs juankbell mateodaza griff natesuits chuygarcia92 zeptimus tam2140 durgadas suga joining soft gov yesterday,TEC2,TEC2,TEC2
1860,making sourcecred reality,,,TEC2
1861,humorous thoughtful speak people listen,,,TEC16
1862,ridiculously amazingly thorough work glossary gotta check https token engineering commons gitbook io tec handbook glossary,TEC5,TEC15,TEC5
1863,sharing fun time today gravity wg personal missions visions values represented tec mission vision values,TEC17,TEC16,TEC17
1864,new people coming possible stewards amazing work,TEC8,TEC8,TEC2
1865,always looking step step process polish mechanism addressing conflicts wrapping legal work amazingly much progress,TEC4,TEC4,TEC2
1866,looking reward systems,,,TEC2
1867,joining tec weekly sync https www youtube com watch v wg5j9ac8mwg,TEC10,TEC15,TEC10
1868,attending week legal wg,TEC4,TEC4,TEC4
1869,introducing gravity praise showing 1hive,TEC17,TEC16,TEC16
1870,mission vision value tokenlog waterfall griff land america sprint planning session,,,TEC15
1871,dank memes meme party,TEC3,TEC3,TEC2
1872,engaging discussion te commons forum https forum tecommons org past week thank helping token engineering commons community share learn,TEC5,TEC15,TEC1
1873,every interaction past weeks thanks presence support,,,TEC2
1874,joining comms weekly call,TEC1,TEC1,TEC1
1875,joining soft gov sharing inputs mvv,TEC2,TEC2,TEC2
1876,joining stewards meeting,TEC8,TEC8,TEC8
1877,participating mvv submitting proposals commenting,,,TEC1
1878,collaborations gravity step step process legal quiet crucial,TEC4,TEC4,TEC4
1879,community sem,TEC15,TEC15,TEC15
1880,joining tec community call https www youtube com watch v ehhavtqhlas,TEC15,TEC15,TEC15
1881,attending legal weekly sync,TEC4,TEC4,TEC4
1882,working improving discord onboarding,TEC1,TEC6,TEC6
1883,mentioning retweeting commons stack socials past week thank helping us grow commons stack community spreading message,TEC5,TEC15,TEC1
1884,mentioning retweeting te commons socials past week thank helping us grow token engineering commons community spreading message,TEC5,TEC15,TEC1
1885,completed amazing article part commons simulator,TEC5,TEC5,TEC1
1886,joining commons stack simulator sync continuing improve game,TEC5,TEC5,TEC5
1887,mentioning retweeting commons stack socials past week thank helping us grow commons stack community spreading message,TEC5,TEC15,TEC1
1888,mentioning retweeting te commons socials past week thank helping us grow token engineering commons community spreading message,TEC5,TEC15,TEC1
1889,joining commons stack simulator sync continuing improve game,TEC5,TEC5,TEC5
1890,incredible work content series stellar memes,,,TEC1
1891,mentioning retweeting commons stack socials past week thank helping us grow commons stack community spreading message,TEC5,TEC15,TEC1
1892,full spanish onboarding thank much taking time,TEC6,TEC6,TEC2
1893,contributing dropping comms call today,TEC1,TEC1,TEC2
1894,spirit energy,,,TEC16
1895,amazing work pushing publishing commons simulator article,TEC5,TEC5,TEC1
1896,fantastic work commons simulator explainer piece https medium com commonsstack magic behind commons simulator part game flow 8fa2bed8437b,TEC5,TEC5,TEC1
1897,awesome work dashboard videos,,,TEC1
1898,joining family hatchers,,,TEC6
1899,dank memes meme party,TEC3,TEC3,TEC2
1900,engaging discussion te commons forum https forum tecommons org past week thank helping token engineering commons community share learn,TEC5,TEC15,TEC1
1901,beautiful blog post perfect saturday morning read https medium com commonsstack magic behind commons simulator part game flow 8fa2bed8437b,TEC1,TEC1,TEC1
1902,latest batch memes cracking monring,,,TEC5
1903,every interaction past weeks thanks presence support,,,TEC2
1904,great work part commons simulator deep dive,TEC5,TEC5,TEC2
1905,joining comms weekly call,TEC1,TEC1,TEC1
1906,joining soft gov sharing inputs mvv,TEC2,TEC2,TEC2
1907,awesome groovybot meme,,,TEC1
1908,jumping tec coming giveth finding ways useful producing high quality work quickly,TEC15,TEC15,TEC1
1909,participating mvv submitting proposals commenting,,,TEC1
1910,coming helping much amazing cadcad article deep dive commons simulator piece,TEC5,TEC5,TEC2
1911,joining tec community call https www youtube com watch v ehhavtqhlas,TEC15,TEC15,TEC15
1912,awesome discord mod hooking praise capabilities,TEC1,TEC16,TEC16
1913,awesome everything,,,TEC16
1914,lucky make discord nice home tec,TEC1,TEC15,TEC15
1915,x100 seriously meticulous care work praise enough,TEC16,TEC16,TEC16
1916,going give best shot another one,,,TEC2
1917,pleasant work always many solutions,,,TEC1
1918,bringing tec,TEC15,TEC15,TEC15
1919,taking care discord bot magic,TEC1,TEC1,TEC2
1920,dank memes meme party,TEC3,TEC3,TEC2
1921,latest batch memes cracking monring,,,TEC5
1922,every interaction past weeks thanks presence support,,,TEC2
1923,giving information bot recording video bad news bot cant access video vyvy vi look info thanks buddy,TEC10,TEC10,TEC10
1924,responsive async hack sesh resolving open issues discord bots,TEC1,TEC1,TEC5
1925,moderating discord,TEC1,TEC1,TEC17
1926,joining tec community call https www youtube com watch v ehhavtqhlas,TEC15,TEC15,TEC15
1927,fixing discord permissions giving rights pin message channel,TEC1,TEC1,TEC2
1928,mentioning retweeting te commons socials past week thank helping us grow token engineering commons community spreading message,TEC5,TEC15,TEC1
1929,mentioning retweeting commons stack socials past week thank helping us grow commons stack community spreading message,TEC5,TEC15,TEC1
1930,mentioning retweeting te commons socials past week thank helping us grow token engineering commons community spreading message,TEC5,TEC15,TEC1
1931,carrying flag transparency practices community great article https medium com token engineering commons transparency daos 999b17b0ff74,TEC1,TEC15,TEC1
1932,joining transparency wg weekly sync,TEC10,TEC10,TEC10
1933,providing feedback content distribution process,,,TEC1
1934,closing issues,,,TEC2
1935,recording wg sessions making easy catch great work going youtube playlists,TEC10,TEC10,TEC10
1936,snowflakes retrospective board magical touch whimsy around,,,TEC16
1937,great medium article dedication transparency mutual monitoring,TEC1,TEC10,TEC1
1938,epic retrospective epic sprint,,,TEC10
1939,work transparency wg revolution daos everywhere work creative looking solutions recording calls incredible transparency blog work continue,TEC10,TEC10,TEC1
1940,new people coming possible stewards amazing work,TEC8,TEC8,TEC2
1941,presence felt even though organizational work background,,,TEC2
1942,attending week legal wg,TEC4,TEC4,TEC4
1943,mission vision value tokenlog waterfall griff land america sprint planning session,,,TEC15
1944,sharing transparency documentation since lost track new pc,TEC10,TEC10,TEC10
1945,attending transparency weekly call,TEC10,TEC10,TEC2
1946,every interaction past weeks thanks presence support,,,TEC2
1947,helping standardize process cslove email notifications taking forward,,,TEC1
1948,awesome c meeting,,,TEC2
1949,teaching use tec members doc,TEC15,TEC15,TEC15
1950,transparency working sesh updated database https docs google com spreadsheets 1nu5xx4n40rpuvh7dtjb94sumyspms u6ifiobpxoloa edit gid newest videos top,TEC10,TEC10,TEC1
1951,harchers outreach milestone soft commitments,TEC2,TEC6,TEC6
1952,joining stewards meeting,TEC8,TEC8,TEC8
1953,joining hatchers outreach weekly sync,TEC6,TEC6,TEC6
1954,leading transparency calls,TEC10,TEC10,TEC2
1955,handling tweets cadcad bootcamp,,,TEC1
1956,recording calls,TEC10,TEC10,TEC10
1957,raining praise tec community,TEC15,TEC15,TEC15
1958,always making time legal calls,TEC4,TEC4,TEC4
1959,making end sprint playful creative collaboration naming,,,TEC1
1960,attending legal weekly sync,TEC4,TEC4,TEC4
1961,mentioning retweeting commons stack socials past week thank helping us grow commons stack community spreading message,TEC5,TEC15,TEC1
1962,santigs juankbell mateodaza griff natesuits chuygarcia92 zeptimus tam2140 durgadas suga joining soft gov yesterday,TEC2,TEC2,TEC2
