0,1,max_intersection_similarity,jaccard_similarity,spacy_similarity
47,biweekly 0mega calls becoming one chuys favorite spaces tec,TEC15,TEC15,TEC2
48,meeting eduardo proposals guidance process,,,TEC4
49,engaging discussion te commons forum https forum tecommons org past week thank helping token engineering commons community share learn,TEC5,TEC15,TEC1
50,always translating praise managing cs twitter,TEC16,TEC16,TEC1
51,sorting infinite praise today community call,TEC15,TEC16,TEC16
52,bot server hacking ivy already catching praise channel command glitch making count,TEC16,TEC16,TEC5
53,praise queen,TEC16,TEC16,TEC16
54,setting miro board sprint retrospectives,,,TEC10
55,always cleaning videos making praise,TEC16,TEC16,TEC16
56,work behind scenes,,,TEC2
57,new deck community call,TEC15,TEC15,TEC15
58,really great commons stack comms organizing things within chaos,TEC5,TEC5,TEC1
59,comms help labs great co facilitator,TEC9,TEC9,TEC1
60,keeping stewards working groups transparent stewards audit forum,TEC1,TEC8,TEC8
61,working apostrophe issue praise bot,TEC16,TEC16,TEC2
62,working apostrophe issue praise bot,TEC16,TEC16,TEC2
63,present transparency sync call today,TEC10,TEC10,TEC10
64,amazing ideas transparency,TEC10,TEC10,TEC1
65,attending seo hack session,TEC1,TEC1,TEC1
66,great team peers work,,,TEC16
67,airdropping cslove new members swiss membership today,,,TEC2
68,coordination proactive,,,TEC14
69,awesome people interacted juan recently conversations amazing,,,TEC1
70,joining legal weekly sync,TEC4,TEC4,TEC4
71,joining comms wg call,TEC1,TEC1,TEC1
72,joining legal weekly call,TEC4,TEC4,TEC4
73,publishing token engineering commons hatch economy choice rapidly excellently,TEC5,TEC6,TEC2
74,delightful blogpost https medium com token engineering commons economy choice v2 4f7c9fb42d99,TEC5,TEC5,TEC1
75,work around dashboard,,,TEC1
76,joining mvv runoff polishing session,,,TEC2
77,outstanding momentum onboarding fresh eye perspective help onboarding nice 1on1s efforts onboarding writing editing everywhere,TEC6,TEC6,TEC1
78,getting ball rolling hatch campaigns,TEC6,TEC6,TEC2
79,attending tec community call https youtu fvlttushrbg,TEC15,TEC15,TEC15
80,voting mvv sharing,TEC2,TEC2,TEC2
81,attending comms call,TEC1,TEC1,TEC1
82,joining soft gov call yesterday,TEC2,TEC2,TEC2
83,onboarding work blog post working right,TEC1,TEC6,TEC1
84,participating mvv polishing,,,TEC13
85,new web3 gave tam opportunity explain understanding,,,TEC2
86,motivating 1on1s,,,TEC17
87,coming hatch dashboard party today,TEC3,TEC6,TEC2
88,joining community stewards sync yesterday,TEC15,TEC15,TEC8
89,joining comms wg call,TEC1,TEC1,TEC1
90,joining tec community call https youtu carix3rovx0,TEC15,TEC15,TEC15
91,working d2d collaboration models,,,TEC14
92,jake countless hours put building dashboard ready play,TEC15,TEC15,TEC2
93,pushing software engineers edge te discord servers te ethics evangelist almost really really appreciate contributions engineering type bridges,TEC1,TEC1,TEC2
94,tec hatch config dashboard looking cool amazing basically done dashboard awesome evolves time,TEC6,TEC15,TEC5
95,working hatch dashboard used intuitive swift work love vyvy,TEC6,TEC6,TEC1
96,work dashboard,,,TEC1
97,zep seeing call misses coming calls bringing new people close tec joining cadcad session helping lauren python issue cool hoodie,TEC15,TEC15,TEC2
98,joining bi weekly call diverse backgrounds already creating perfect focus group start research making time work sessions next call,,,TEC2
99,cool params session,TEC3,TEC3,TEC3
100,awesome people interacted juan recently conversations amazing,,,TEC1
101,help cadcad bootcamp,,,TEC15
102,cutting beard,,,TEC2
103,attending tec community call https youtu fvlttushrbg,TEC15,TEC15,TEC15
104,joining tec community call https youtu carix3rovx0,TEC15,TEC15,TEC15
105,mentioning retweeting commons stack socials past week thank helping us grow commons stack community spreading message,TEC5,TEC15,TEC1
106,mentioning retweeting te commons socials past week thank helping us grow token engineering commons community spreading message,TEC5,TEC15,TEC1
107,diving content editing fast review hatch dashboard document,TEC6,TEC6,TEC1
108,amazing panel daos yesterday livia,,,TEC1
109,organizing enspiral dao panel jess pleasure participate,,,TEC1
110,upcoming discussion dao governance https 17dmcreative com dao discussions,,,TEC1
111,incredible job moderating dao commons panel morning inviting commons stack tec participate diversity inclusion mind,TEC5,TEC15,TEC2
112,taking contributors issue looking carefully,,,TEC2
113,active piece softgov making better every time,,,TEC2
114,great feedback hatch dashboard article,TEC1,TEC6,TEC1
115,joining soft gov call yesterday,TEC2,TEC2,TEC2
116,leanne pronoia mentioning retweeting commons stack socials past week thank helping us grow commons stack community spreading message,TEC5,TEC15,TEC1
117,mentioning retweeting commons stack socials past week thank helping us grow commons stack community spreading message,TEC5,TEC15,TEC1
118,mentioning retweeting te commons socials past week thank helping us grow token engineering commons community spreading message,TEC5,TEC15,TEC1
119,willszal mentioning retweeting commons stack socials past week thank helping us grow commons stack community spreading message,TEC5,TEC15,TEC1
120,mentioning retweeting commons stack socials past week thank helping us grow commons stack community spreading message,TEC5,TEC15,TEC1
121,making sourcecred better still super careful,,,TEC2
122,joining first sourcecred committee call creating issues next steps,,,TEC2
123,hot trot legal always pushing forward,TEC4,TEC4,TEC2
124,meeting sem person meeting away keyboard makes community solid,TEC15,TEC15,TEC2
125,always around,,,TEC2
126,highly productive community stewards call,TEC15,TEC15,TEC8
127,things suga see,,,TEC2
128,active piece softgov making better every time,,,TEC2
129,sourcecred committee,,,TEC2
130,yesterday restrospective meeting awesome sprint,,,TEC2
131,joining sourcecred committee call yesterday,,,TEC2
132,great leader legal also chrysalis,TEC4,TEC4,TEC4
133,work sourcecred committee,,,TEC2
134,joining community stewards sync yesterday,TEC15,TEC15,TEC8
135,attending tec community call https youtu fvlttushrbg,TEC15,TEC15,TEC15
