,To,From,Reason for dishing,Server,Room,v1 norm,v2 norm,v3 norm,Avg %,IH per Praise,IH per person,day_of_week,tag,Kmean tag
6455,mateodaza,Tonga2020,overall presence stability mind work gravity,Telegram,duplicate,0.0,0.0,0.0,0.0,0.0,1.0,Saturday,TEC17,#6 cluster
6456,mateodaza,Tonga2020,overall presence stability mind work gravity,Telegram,duplicate,0.0,0.0,0.0,0.0,0.0,1.0,Saturday,TEC17,#6 cluster
6457,mateodaza,Tonga2020,overall presence stability mind work gravity,Telegram,duplicate,0.0,0.0,0.0,0.0,0.0,1.0,Saturday,TEC17,#6 cluster
6458,solsista,Tonga2020,contributions looking forward read philosophy channel,Telegram,te praise,0.0025867914934945666,0.006466978733736416,0.1616744683434104,0.5331663206576407,0.26708086490080596,0.02902457587091198,Saturday,TEC7,#2 cluster
6459,solsista,JessicaZartler,feedback funding proposal forum post,Telegram,te praise,0.0021636914149706023,0.006010253930473896,0.16027343814597053,0.4821357251095195,0.2415179306070929,0.10789896079197257,Wednesday,TEC1,#2 cluster
6460,solsista,GriffGreen,donating commons stack iteration gitcoin grant helping us raise 14 000 dai build future high functioning public goods focused economies,Telegram,commons stack,0.0014354472320964875,0.008971545200603049,0.14952575334338414,0.4523889816936934,0.22661679076235486,0.16106148176786794,Wednesday,TEC2,#2 cluster
6461,solsista,Tonga2020,contributions looking forward read philosophy channel,Telegram,duplicate,0.0,0.0,0.0,0.0,0.0,1.0,Saturday,TEC7,#6 cluster
6462,naynaysoo,Tam2140,many insightful contributions dao book club governing commons steering chapter session well,Telegram,te praise,0.001834005214906878,0.007641688395445326,0.19104220988613313,0.5101168887852293,0.255534632613434,0.033830575104851254,Monday,TEC5,#2 cluster
6463,naynaysoo,liviade,joining book club last week,Telegram,te praise,0.002725095980832682,0.006812739952081706,0.11354566586802842,0.5038688114749609,0.2524047613956607,0.12064292532843562,Monday,TEC2,#2 cluster
6464,naynaysoo,liviade,joining last soft gov call,Telegram,te praise,0.003882406937671228,0.004853008672089035,0.08088347786815059,0.5492861281978426,0.27515581625976937,0.08593916206447716,Monday,TEC2,#2 cluster
6465,naynaysoo,iviangita,leading book club last week helpful giving suggestions tongga attending community call last thursday,Telegram,duplicate,0.0,0.0,0.0,0.0,0.0,1.0,Sunday,TEC15,#6 cluster
