,To,From,Reason for dishing,Server,Date,Room,v1 norm,v2 norm,v3 norm,Avg %,IH per Praise,IH per person,Unnamed: 12,v1,v2,v3,period,Cred per Praise,Cred per person,To.1,Room-NoEmoji,Source,tags
4112,edendh,iviangita,mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱,Telegram,2021-03-12,Commons Stack,25.0,500.0,100.0,0.0007906872343,0.8170434755,1.656867374,edendh,Jake,Metaverde,Griff,#13 Mar 12,,,,Commons Stack,Telegram:Commons Stack,TEC15
4113,AdaptDAO,iviangita,mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱,Telegram,2021-03-05,Commons Stack,35.0,500.0,40.0,0.0008127328046,0.8398238981,1.656867374,AdaptDAO,Jake,Metaverde,Griff,#13 Mar 12,,,,Commons Stack,Telegram:Commons Stack,TEC5
4114,AdaptDAO,iviangita,mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱,Telegram,2021-03-12,Commons Stack,25.0,500.0,100.0,0.0007906872343,0.8170434755,1.656867374,AdaptDAO,Jake,Metaverde,Griff,#13 Mar 12,,,,Commons Stack,Telegram:Commons Stack,TEC15
4115,sherminv,iviangita,mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱,Telegram,2021-03-05,Commons Stack,35.0,500.0,40.0,0.0008127328046,0.8398238981,1.599007684,sherminv,Jake,Metaverde,Griff,#13 Mar 12,,,,Commons Stack,Telegram:Commons Stack,TEC15
4116,sherminv,iviangita,for joining the TEC Weekly Sync 🙏 https://www.youtube.com/watch?v=NR9-ca0HqyA ,Token Engineering Commons,2021-03-12,🙏praise,25.0,1000.0,10.0,0.0007346939862,0.7591837857,1.599007684,sherminv,Jake,Metaverde,Griff,#13 Mar 12,,,,praise,Token Engineering Commons:praise,TEC15
4117,REOS#2250,knobsDAO,for taking the time to chat about his community member journey and the opportunities he can share with us. ,Commons Stack,2021-03-08,praise,25.0,2000.0,200.0,0.001484118155,1.53358876,1.53358876,REOS#2250,Jake,Metaverde,Griff,#13 Mar 12,,,,praise,Commons Stack:praise,TEC15
4118,jantinine,JessicaZartler,all her incredible work in the space and for being a long-time Trusted Seed member! 🙏🏼❤️🌟 Look forward to connecting more next week and feel free anytime to share potential collaboration or other opportunities with Tezos 💫,Telegram,2021-03-12,Commons Stack,25.0,2500.0,100.0,0.001404843537,1.451671655,1.451671655,jantinine,Jake,Metaverde,Griff,#13 Mar 12,,,,Commons Stack,Telegram:Commons Stack,TEC14
4119,Michal#7390,solsista,"for joining the <#810180622634844202> wg call, adding questions and helping to structure the TE community survey and deciding on first outreach radius, naming further adjacent communities, thinking about intrinsic and goodies incentives for high survey completion rate. ❤️ ",Token Engineering Commons,2021-03-04,🙌🏿praise,50.0,1000.0,100.0,0.001348560775,1.393512801,1.393512801,Michal#7390,Jake,Metaverde,Griff,#13 Mar 12,,,,praise,Token Engineering Commons:praise,TEC7
4120,DeepTroop#4783,knobsDAO,for his heartfelt feedback on the Commons Stack contributor journey. ,Commons Stack,2021-03-08,praise,25.0,1000.0,200.0,0.001177040003,1.21627467,1.21627467,DeepTroop#4783,Jake,Metaverde,Griff,#13 Mar 12,,,,praise,Commons Stack:praise,TEC5
4121,sbilbao,GriffGreen,joining our Commons Stack Simulator sync & continuing to improve the game!,Telegram,2021-03-10,CS dDEV Team,25.0,1000.0,50.0,0.0008278194634,0.8554134456,0.8554134456,sbilbao,Jake,Metaverde,Griff,#13 Mar 12,,,,CS dDEV Team,Telegram:CS dDEV Team,TEC5
