,To,From,Reason for dishing,Server,Date,Room,v1 norm,v2 norm,v3 norm,Avg %,IH per Praise,IH per person,tag
5226,CoachB,iviangita,mentioning retweeting commons stack socials past week thank helping us grow commons stack community spreading message,Telegram,2021-02-05,commons stack,10.0,10.0,15.0,0.000447651032,0.3655816761,0.3655816761,TEC1
5227,BlairV,iviangita,mentioning retweeting commons stack socials past week thank helping us grow commons stack community spreading message,Telegram,2021-02-05,commons stack,10.0,10.0,15.0,0.000447651032,0.3655816761,0.3655816761,TEC1
5228,chanate91,Santigs67,joining tec,Telegram,2021-02-02,te praise,1.0,5.0,25.0,0.0003802579272,0.3105439739,0.3105439739,TEC15
5229,zeptimusQ,GriffGreen,work tec test hatch dao spec https forum tecommons org tec test hatch implementation specification 226,Telegram,2021-01-21,te praise,125000.0,200.0,100.0,0.01447226377,13.50744618,59.96553876,TEC1
5230,zeptimusQ,iviangita,always keen moving things forward recording overlay stream standing transparency wg,Telegram,2021-01-22,te praise,20000.0,100.0,100.0,0.004455085792,4.158080072,59.96553876,TEC10
5231,zeptimusQ,JuankBell,amazing document transparency criteria checklist working groups,Telegram,2021-01-28,te praise,10000.0,100.0,150.0,0.004195612727,3.915905212,59.96553876,TEC10
5232,zeptimusQ,JuankBell,leading transparency wg recordings uploads new ideas improve mutual monitoring tec,Telegram,2021-01-19,te praise,30000.0,50.0,100.0,0.004295675702,4.009297322,59.96553876,TEC10
5233,zeptimusQ,iviangita,lending time check options adding intro commons stack videos thanks much,Telegram,2021-01-20,te praise,5000.0,100.0,100.0,0.003291282856,3.071863999,59.96553876,TEC5
5234,zeptimusQ,liviade,teaching ivi record calls,Telegram,2021-01-19,te praise,5000.0,50.0,100.0,0.002356004143,2.1989372,59.96553876,TEC10
5235,zeptimusQ,Tam2140,spearheading transparency wg hitting ground running momentum,Telegram,2021-01-25,te praise,10000.0,25.0,100.0,0.002276299098,2.124545825,59.96553876,TEC10
5236,zeptimusQ,iviangita,joining legal wg discuss meeting attendance terms idea audit ' amazing put practice incredible work ' transparency going beyond scope,Telegram,2021-01-29,te praise,2000.0,50.0,100.0,0.002123243556,1.981693985,59.96553876,TEC4
5237,zeptimusQ,JuankBell,recording yesterday' graviton training fast,Telegram,2021-01-22,te praise,5000.0,35.0,100.0,0.002075420529,1.93705916,59.96553876,TEC10
5238,zeptimusQ,iviangita,launching first tec sprint better coordination working together,Telegram,2021-01-22,te praise,5000.0,25.0,100.0,0.001888364786,1.762473801,59.96553876,TEC15
5239,zeptimusQ,JuankBell,recording assisting today' calls,Telegram,2021-01-26,te praise,5000.0,25.0,100.0,0.001888364786,1.762473801,59.96553876,TEC10
5240,zeptimusQ,iviangita,tremendous effort happens background give community,Telegram,2021-01-29,te praise,5000.0,25.0,100.0,0.001888364786,1.762473801,59.96553876,TEC15
5241,zeptimusQ,JuankBell,leading today book club,Telegram,2021-01-19,te praise,2000.0,25.0,100.0,0.001655604199,1.545230586,59.96553876,TEC1
5242,zeptimusQ,iviangita,always present calls coming time recording,Telegram,2021-01-29,te praise,5000.0,15.0,100.0,0.001701309044,1.587888441,59.96553876,TEC10
5243,zeptimusQ,JuankBell,rounds praise quantifiers big praise commitment tec,Telegram,2021-01-16,te praise,20000.0,25.0,25.0,0.002277574383,2.125736091,59.96553876,TEC16
5244,zeptimusQ,liviade,always recording calls presence enthusiasm,Telegram,2021-01-26,te praise,,0.0,0.0,0.0,0.0,59.96553876,TEC10
5245,zeptimusQ,iviangita,supporting jess past week,Telegram,2021-01-29,te praise,5000.0,25.0,50.0,0.001371969227,1.280504612,59.96553876,TEC2
5246,zeptimusQ,cranders71,productive efficient onboarding wg weekly sync,Telegram,2021-01-28,te praise,1000.0,25.0,50.0,0.001061621778,0.9908469927,59.96553876,TEC6
5247,zeptimusQ,cranders71,showing brightid sesh support,Telegram,2021-01-21,te praise,5000.0,25.0,25.0,0.001113771448,1.039520018,59.96553876,TEC2
5248,zeptimusQ,JessicaZartler,awesome creative inputs miro narratives session brilliant ideas sharing appreciate every single one presence today,Telegram,2021-01-20,te praise,1000.0,25.0,25.0,0.0008034239984,0.7498623985,59.96553876,TEC1
5249,zeptimusQ,Santigs67,joining legal wg meeting,Telegram,2021-01-22,te praise,1000.0,25.0,25.0,0.0008034239984,0.7498623985,59.96553876,TEC4
5250,zeptimusQ,zeptimusQ,joining transparency wg call sharing knowledge alot energy,Telegram,2021-01-25,te praise,1000.0,25.0,25.0,0.0008034239984,0.7498623985,59.96553876,TEC10
5251,zeptimusQ,JessicaZartler,awesome comms wg call today thank much sharing time energy,Telegram,2021-01-26,te praise,1000.0,25.0,25.0,0.0008034239984,0.7498623985,59.96553876,TEC1
5252,zeptimusQ,freedumbs00,coming tec vote call,Telegram,2021-01-27,te praise,1000.0,25.0,25.0,0.0008034239984,0.7498623985,59.96553876,TEC2
5253,zeptimusQ,liviade,joining book club today,Telegram,2021-01-19,te praise,500.0,25.0,25.0,0.0007646305672,0.7136551961,59.96553876,TEC1
5254,zeptimusQ,iviangita,mentioning retweeting te commons socials past week thank helping us grow token engineering commons community spreading message,Telegram,2021-01-29,te praise,500.0,25.0,25.0,0.0007646305672,0.7136551961,59.96553876,TEC1
